<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;D;20180522;000000;295;297,3;293,15;297,3;906470;0
МТС-ао;D;20180523;000000;296,45;297,45;289,1;291,1;2512150;0
МТС-ао;D;20180524;000000;290,5;292,15;284,1;286,5;2277890;0
МТС-ао;D;20180525;000000;286,5;288,8;284,95;287,2;1336690;0
МТС-ао;D;20180528;000000;287,4;288,75;286,3;287,15;669330;0
МТС-ао;D;20180529;000000;287,9;287,9;281,6;283,2;1634730;0
МТС-ао;D;20180530;000000;283,65;286,5;280,5;283,85;1431800;0
МТС-ао;D;20180531;000000;284,65;286,85;282,4;282,4;1584030;0
МТС-ао;D;20180601;000000;281,45;284,85;281,45;283,1;947380;0
МТС-ао;D;20180604;000000;283,1;286,8;283,1;285,95;830430;0
МТС-ао;D;20180605;000000;286,95;290,4;285,05;285,9;1361140;0
МТС-ао;D;20180606;000000;286,4;286,9;284;285,2;1150270;0
МТС-ао;D;20180607;000000;285,65;287,95;285;286,05;1258280;0
МТС-ао;D;20180608;000000;286;286;282,35;283,55;1425020;0
МТС-ао;D;20180609;000000;283,7;285,55;283,7;284,9;296000;0
МТС-ао;D;20180611;000000;285,4;285,55;281,6;283,7;698870;0
МТС-ао;D;20180613;000000;282,6;283,75;281,75;282,75;1268400;0
МТС-ао;D;20180614;000000;282,45;284,35;281,05;281,85;2793800;0
МТС-ао;D;20180615;000000;281,8;283,85;278,25;282,85;3402720;0
МТС-ао;D;20180618;000000;281,75;282,3;275,2;277,5;3102630;0
МТС-ао;D;20180619;000000;277;279,75;274,2;276,55;3577910;0
МТС-ао;D;20180620;000000;276,8;281,6;276,3;277,1;3859480;0
МТС-ао;D;20180621;000000;277,3;279,75;271,25;272,9;6768020;0
МТС-ао;D;20180622;000000;274,8;275,05;252;264,75;16936700;0
МТС-ао;D;20180625;000000;265,95;269,8;264,1;264,95;4283650;0
МТС-ао;D;20180626;000000;265,15;267,65;261,55;262;2345210;0
МТС-ао;D;20180627;000000;262,95;267;262,35;266,7;2764510;0
МТС-ао;D;20180628;000000;265,7;271,4;264,15;267,35;6002660;0
МТС-ао;D;20180629;000000;270,95;282,3;270,1;278,1;7636880;0
МТС-ао;D;20180702;000000;280,6;285,9;279,8;284,1;4331790;0
МТС-ао;D;20180703;000000;284,1;286,5;281;281,1;3377350;0
МТС-ао;D;20180704;000000;281,95;285;281,45;284;1469290;0
МТС-ао;D;20180705;000000;284,55;288;283,5;288;4977440;0
МТС-ао;D;20180706;000000;269;277,65;268,1;276,95;5092470;0
МТС-ао;D;20180709;000000;277,95;279,75;275,3;278,8;2638430;0
МТС-ао;D;20180710;000000;276,6;278,65;273,65;273,75;2316130;0
МТС-ао;D;20180711;000000;273,65;275,5;269;272,9;2061730;0
МТС-ао;D;20180712;000000;270,75;272,85;269,1;270;1385480;0
МТС-ао;D;20180713;000000;271,5;273,2;269,1;269,15;2166000;0
МТС-ао;D;20180716;000000;271;273,7;268,1;269,35;3132080;0
МТС-ао;D;20180717;000000;269;271,35;266;270,4;2214350;0
МТС-ао;D;20180718;000000;271;271,55;268,3;269;1546760;0
МТС-ао;D;20180719;000000;269,55;269,6;265,2;268,3;1858230;0
МТС-ао;D;20180720;000000;268,3;269,55;266,15;266,3;1379130;0
МТС-ао;D;20180723;000000;267;267,7;260;262;3000110;0
МТС-ао;D;20180724;000000;262,8;264,85;260,9;263,55;1687670;0
МТС-ао;D;20180725;000000;261,25;263,45;260,65;262,8;1016880;0
МТС-ао;D;20180726;000000;264;264,35;261,3;263,3;977750;0
МТС-ао;D;20180727;000000;263,6;266,9;261,9;263,95;1393170;0
МТС-ао;D;20180730;000000;263,2;264,5;257,5;261,85;1299840;0
МТС-ао;D;20180731;000000;262,35;264,75;260,25;263,8;1554150;0
МТС-ао;D;20180801;000000;263,8;264,4;262;262,3;895760;0
МТС-ао;D;20180802;000000;263;263,7;258,5;261,3;1947900;0
МТС-ао;D;20180803;000000;261,3;261,5;258,6;260,8;1582350;0
МТС-ао;D;20180806;000000;261,3;263,9;260;261,95;1028240;0
МТС-ао;D;20180807;000000;262,2;263,65;261,2;262,2;644890;0
МТС-ао;D;20180808;000000;260,9;261,25;255,6;257,5;2637870;0
МТС-ао;D;20180809;000000;257,05;257,9;245,25;253,6;3983140;0
МТС-ао;D;20180810;000000;253,85;258,5;250,1;253,7;3226510;0
МТС-ао;D;20180813;000000;252,5;255;250,5;253,1;1598370;0
МТС-ао;D;20180814;000000;253,55;256,65;248,85;251;3347190;0
МТС-ао;D;20180815;000000;250,15;252,75;246,65;249,85;1971420;0
МТС-ао;D;20180816;000000;249,65;252;248,55;248,8;1652610;0
МТС-ао;D;20180817;000000;249,2;250,5;247,5;248,65;1678280;0
МТС-ао;D;20180820;000000;248,95;252;248,45;249,15;1764220;0
МТС-ао;D;20180821;000000;250;253,65;248,5;253,5;2060920;0
МТС-ао;D;20180822;000000;253,5;254,8;252,05;253,6;1580780;0
МТС-ао;D;20180823;000000;253,8;254,95;250,45;251,95;2416190;0
МТС-ао;D;20180824;000000;251,5;252,7;248;251,55;1932220;0
МТС-ао;D;20180827;000000;252,5;255,4;250,25;255;1033410;0
МТС-ао;D;20180828;000000;255,25;259,5;254,5;258,9;1445950;0
МТС-ао;D;20180829;000000;258,85;263,3;258,05;260,35;1992450;0
МТС-ао;D;20180830;000000;260,95;262,55;257,5;259,15;2167620;0
МТС-ао;D;20180831;000000;259,25;263,3;257,15;261,95;2759430;0
МТС-ао;D;20180903;000000;261,35;263,95;261,1;263,45;777050;0
МТС-ао;D;20180904;000000;263,7;263,95;257,05;257,3;1662210;0
МТС-ао;D;20180905;000000;257,3;258,85;254,75;257,95;2298600;0
МТС-ао;D;20180906;000000;258,05;259;255,3;256,1;1307080;0
МТС-ао;D;20180907;000000;256,1;257,35;254,5;256;1402190;0
МТС-ао;D;20180910;000000;255,8;257,75;252,5;255,85;2024510;0
МТС-ао;D;20180911;000000;256;256,5;250,85;252,5;1619840;0
МТС-ао;D;20180912;000000;252,7;259,3;252,55;256,6;2872930;0
